============================================================
ALGORITHM: FedProx
PAPER: FedProx (MLSys 2020)
CONFIG: {'device': 'cpu', 'seed': 0, 'show_plots': False, 'results_path': 'D:\\论文-联邦学习\\联邦学习代码', 'data_path': 'D:\\论文-联邦学习\\联邦学习代码\\data', 'optimizer_momentum': 0.0, 'server_momentum_beta': 0.0, 'server_nesterov': False, 'client_nesterov': False, 'participation_mode': 'fixed', 'lr_decay_per_round': True, 'algorithm': 'FedProx', 'paper': 'FedProx (MLSys 2020)', 'dataset_name': 'MNIST_FEDPROX', 'partition_method': 'fedprox_mnist', 'model_name': 'mnist_logistic', 'num_classes': 10, 'num_clients': 1000, 'clients_per_round': 10, 'local_epochs': 20, 'batch_size': 10, 'lr': 0.01, 'lr_decay': 1.0, 'mu': 0.01, 'client_train_frac': 0.9, 'drop_percent': 0.0, 'weight_decay': 0.0, 'server_lr': 1.0, 'paper_rounds': 200, 'rounds': 200, 'eval_interval': 1, 'experiments_subdir': 'fedprox_mnist', 'run_prefix': 'mnist_fedprox', 'wandb_project': 'federated-learning-fedprox-paper', 'summary_csv': 'D:\\论文-联邦学习\\联邦学习代码\\experiments\\mnist_fedprox_summaries.csv'}
TIMESTAMP: 20260611_142153
============================================================

[FedProx] Round 96/200 - Participants: 10, Avg Local Loss: 0.1385, Test Loss: 0.3834, Test Acc: 88.30%
[FedProx] Round 97/200 - Participants: 10, Avg Local Loss: 0.1025, Test Loss: 0.3811, Test Acc: 89.00%
[FedProx] Round 98/200 - Participants: 10, Avg Local Loss: 0.1576, Test Loss: 0.3780, Test Acc: 89.00%
[FedProx] Round 99/200 - Participants: 10, Avg Local Loss: 0.1094, Test Loss: 0.3765, Test Acc: 89.20%
[FedProx] Round 100/200 - Participants: 10, Avg Local Loss: 0.1564, Test Loss: 0.3774, Test Acc: 88.90%
[FedProx] Round 101/200 - Participants: 10, Avg Local Loss: 0.1062, Test Loss: 0.3775, Test Acc: 89.20%
[FedProx] Round 102/200 - Participants: 10, Avg Local Loss: 0.0929, Test Loss: 0.3756, Test Acc: 89.30%
[FedProx] Round 103/200 - Participants: 10, Avg Local Loss: 0.1640, Test Loss: 0.3780, Test Acc: 89.10%
[FedProx] Round 104/200 - Participants: 10, Avg Local Loss: 0.0885, Test Loss: 0.3772, Test Acc: 89.20%
[FedProx] Round 105/200 - Participants: 10, Avg Local Loss: 0.1138, Test Loss: 0.3764, Test Acc: 89.20%
[FedProx] Round 106/200 - Participants: 10, Avg Local Loss: 0.0942, Test Loss: 0.3731, Test Acc: 88.90%
[FedProx] Round 107/200 - Participants: 10, Avg Local Loss: 0.1006, Test Loss: 0.3725, Test Acc: 89.20%
[FedProx] Round 108/200 - Participants: 10, Avg Local Loss: 0.1173, Test Loss: 0.3750, Test Acc: 88.50%
[FedProx] Round 109/200 - Participants: 10, Avg Local Loss: 0.1073, Test Loss: 0.3757, Test Acc: 88.60%
[FedProx] Round 110/200 - Participants: 10, Avg Local Loss: 0.0575, Test Loss: 0.3758, Test Acc: 88.80%
[FedProx] Round 111/200 - Participants: 10, Avg Local Loss: 0.0952, Test Loss: 0.3763, Test Acc: 88.70%
[FedProx] Round 112/200 - Participants: 10, Avg Local Loss: 0.0909, Test Loss: 0.3782, Test Acc: 88.70%
[FedProx] Round 113/200 - Participants: 10, Avg Local Loss: 0.0602, Test Loss: 0.3773, Test Acc: 89.00%
[FedProx] Round 114/200 - Participants: 10, Avg Local Loss: 0.1524, Test Loss: 0.3741, Test Acc: 88.90%
[FedProx] Round 115/200 - Participants: 10, Avg Local Loss: 0.1153, Test Loss: 0.3729, Test Acc: 88.70%
[FedProx] Round 116/200 - Participants: 10, Avg Local Loss: 0.1090, Test Loss: 0.3744, Test Acc: 88.50%
[FedProx] Round 117/200 - Participants: 10, Avg Local Loss: 0.1022, Test Loss: 0.3721, Test Acc: 88.50%
[FedProx] Round 118/200 - Participants: 10, Avg Local Loss: 0.0732, Test Loss: 0.3713, Test Acc: 88.40%
[FedProx] Round 119/200 - Participants: 10, Avg Local Loss: 0.0872, Test Loss: 0.3709, Test Acc: 88.50%
[FedProx] Round 120/200 - Participants: 10, Avg Local Loss: 0.1130, Test Loss: 0.3691, Test Acc: 88.60%
[FedProx] Round 121/200 - Participants: 10, Avg Local Loss: 0.1037, Test Loss: 0.3665, Test Acc: 88.40%
[FedProx] Round 122/200 - Participants: 10, Avg Local Loss: 0.1086, Test Loss: 0.3643, Test Acc: 88.50%
[FedProx] Round 123/200 - Participants: 10, Avg Local Loss: 0.0689, Test Loss: 0.3639, Test Acc: 88.80%
[FedProx] Round 124/200 - Participants: 10, Avg Local Loss: 0.0911, Test Loss: 0.3627, Test Acc: 89.00%
[FedProx] Round 125/200 - Participants: 10, Avg Local Loss: 0.0688, Test Loss: 0.3630, Test Acc: 88.80%
[FedProx] Round 126/200 - Participants: 10, Avg Local Loss: 0.1071, Test Loss: 0.3639, Test Acc: 89.00%
[FedProx] Round 127/200 - Participants: 10, Avg Local Loss: 0.0816, Test Loss: 0.3625, Test Acc: 89.00%
[FedProx] Round 128/200 - Participants: 10, Avg Local Loss: 0.1046, Test Loss: 0.3595, Test Acc: 89.10%
[FedProx] Round 129/200 - Participants: 10, Avg Local Loss: 0.0870, Test Loss: 0.3585, Test Acc: 89.00%
[FedProx] Round 130/200 - Participants: 10, Avg Local Loss: 0.0747, Test Loss: 0.3595, Test Acc: 89.00%
[FedProx] Round 131/200 - Participants: 10, Avg Local Loss: 0.0690, Test Loss: 0.3601, Test Acc: 89.40%
[FedProx] Round 132/200 - Participants: 10, Avg Local Loss: 0.1017, Test Loss: 0.3578, Test Acc: 89.60%
[FedProx] Round 133/200 - Participants: 10, Avg Local Loss: 0.1096, Test Loss: 0.3583, Test Acc: 89.60%
[FedProx] Round 134/200 - Participants: 10, Avg Local Loss: 0.0727, Test Loss: 0.3596, Test Acc: 89.30%
[FedProx] Round 135/200 - Participants: 10, Avg Local Loss: 0.1015, Test Loss: 0.3601, Test Acc: 89.10%
[FedProx] Round 136/200 - Participants: 10, Avg Local Loss: 0.0910, Test Loss: 0.3610, Test Acc: 89.10%
[FedProx] Round 137/200 - Participants: 10, Avg Local Loss: 0.1037, Test Loss: 0.3581, Test Acc: 89.50%
[FedProx] Round 138/200 - Participants: 10, Avg Local Loss: 0.0783, Test Loss: 0.3568, Test Acc: 89.50%
[FedProx] Round 139/200 - Participants: 10, Avg Local Loss: 0.1447, Test Loss: 0.3557, Test Acc: 89.20%
[FedProx] Round 140/200 - Participants: 10, Avg Local Loss: 0.1280, Test Loss: 0.3547, Test Acc: 89.30%
[FedProx] Round 141/200 - Participants: 10, Avg Local Loss: 0.0864, Test Loss: 0.3556, Test Acc: 89.20%
[FedProx] Round 142/200 - Participants: 10, Avg Local Loss: 0.1225, Test Loss: 0.3558, Test Acc: 88.70%
[FedProx] Round 143/200 - Participants: 10, Avg Local Loss: 0.0975, Test Loss: 0.3576, Test Acc: 88.50%
[FedProx] Round 144/200 - Participants: 10, Avg Local Loss: 0.0731, Test Loss: 0.3568, Test Acc: 88.60%
[FedProx] Round 145/200 - Participants: 10, Avg Local Loss: 0.0857, Test Loss: 0.3550, Test Acc: 89.20%
[FedProx] Round 146/200 - Participants: 10, Avg Local Loss: 0.0746, Test Loss: 0.3561, Test Acc: 88.90%
[FedProx] Round 147/200 - Participants: 10, Avg Local Loss: 0.0744, Test Loss: 0.3560, Test Acc: 89.10%
[FedProx] Round 148/200 - Participants: 10, Avg Local Loss: 0.0884, Test Loss: 0.3570, Test Acc: 88.80%
[FedProx] Round 149/200 - Participants: 10, Avg Local Loss: 0.1117, Test Loss: 0.3572, Test Acc: 89.00%
[FedProx] Round 150/200 - Participants: 10, Avg Local Loss: 0.0943, Test Loss: 0.3573, Test Acc: 89.10%
[FedProx] Round 151/200 - Participants: 10, Avg Local Loss: 0.1031, Test Loss: 0.3594, Test Acc: 88.70%
[FedProx] Round 152/200 - Participants: 10, Avg Local Loss: 0.0924, Test Loss: 0.3583, Test Acc: 88.90%
[FedProx] Round 153/200 - Participants: 10, Avg Local Loss: 0.0905, Test Loss: 0.3571, Test Acc: 89.00%
[FedProx] Round 154/200 - Participants: 10, Avg Local Loss: 0.0789, Test Loss: 0.3570, Test Acc: 89.00%
[FedProx] Round 155/200 - Participants: 10, Avg Local Loss: 0.0531, Test Loss: 0.3568, Test Acc: 89.10%
[FedProx] Round 156/200 - Participants: 10, Avg Local Loss: 0.0597, Test Loss: 0.3568, Test Acc: 89.30%
[FedProx] Round 157/200 - Participants: 10, Avg Local Loss: 0.0615, Test Loss: 0.3573, Test Acc: 89.30%
[FedProx] Round 158/200 - Participants: 10, Avg Local Loss: 0.0683, Test Loss: 0.3559, Test Acc: 89.80%
[FedProx] Round 159/200 - Participants: 10, Avg Local Loss: 0.0875, Test Loss: 0.3548, Test Acc: 89.60%
[FedProx] Round 160/200 - Participants: 10, Avg Local Loss: 0.1244, Test Loss: 0.3529, Test Acc: 89.70%
[FedProx] Round 161/200 - Participants: 10, Avg Local Loss: 0.0736, Test Loss: 0.3529, Test Acc: 89.80%
[FedProx] Round 162/200 - Participants: 10, Avg Local Loss: 0.0719, Test Loss: 0.3525, Test Acc: 89.90%
[FedProx] Round 163/200 - Participants: 10, Avg Local Loss: 0.0919, Test Loss: 0.3545, Test Acc: 89.60%
[FedProx] Round 164/200 - Participants: 10, Avg Local Loss: 0.0836, Test Loss: 0.3535, Test Acc: 89.30%
[FedProx] Round 165/200 - Participants: 10, Avg Local Loss: 0.0533, Test Loss: 0.3530, Test Acc: 89.20%
[FedProx] Round 166/200 - Participants: 10, Avg Local Loss: 0.0595, Test Loss: 0.3527, Test Acc: 89.30%
[FedProx] Round 167/200 - Participants: 10, Avg Local Loss: 0.1522, Test Loss: 0.3501, Test Acc: 89.60%
[FedProx] Round 168/200 - Participants: 10, Avg Local Loss: 0.0715, Test Loss: 0.3493, Test Acc: 89.70%
[FedProx] Round 169/200 - Participants: 10, Avg Local Loss: 0.0899, Test Loss: 0.3481, Test Acc: 89.60%
[FedProx] Round 170/200 - Participants: 10, Avg Local Loss: 0.0935, Test Loss: 0.3470, Test Acc: 89.80%
[FedProx] Round 171/200 - Participants: 10, Avg Local Loss: 0.0642, Test Loss: 0.3453, Test Acc: 89.80%
[FedProx] Round 172/200 - Participants: 10, Avg Local Loss: 0.1063, Test Loss: 0.3452, Test Acc: 89.80%
[FedProx] Round 173/200 - Participants: 10, Avg Local Loss: 0.0849, Test Loss: 0.3466, Test Acc: 89.80%
[FedProx] Round 174/200 - Participants: 10, Avg Local Loss: 0.0597, Test Loss: 0.3455, Test Acc: 89.90%
[FedProx] Round 175/200 - Participants: 10, Avg Local Loss: 0.1079, Test Loss: 0.3467, Test Acc: 89.80%
[FedProx] Round 176/200 - Participants: 10, Avg Local Loss: 0.0662, Test Loss: 0.3476, Test Acc: 89.70%
[FedProx] Round 177/200 - Participants: 10, Avg Local Loss: 0.0644, Test Loss: 0.3456, Test Acc: 89.90%
[FedProx] Round 178/200 - Participants: 10, Avg Local Loss: 0.0553, Test Loss: 0.3462, Test Acc: 90.10%
[FedProx] Round 179/200 - Participants: 10, Avg Local Loss: 0.0727, Test Loss: 0.3475, Test Acc: 90.30%
[FedProx] Round 180/200 - Participants: 10, Avg Local Loss: 0.0926, Test Loss: 0.3449, Test Acc: 90.10%
[FedProx] Round 181/200 - Participants: 10, Avg Local Loss: 0.0759, Test Loss: 0.3458, Test Acc: 90.10%
[FedProx] Round 182/200 - Participants: 10, Avg Local Loss: 0.1016, Test Loss: 0.3466, Test Acc: 89.90%
[FedProx] Round 183/200 - Participants: 10, Avg Local Loss: 0.1248, Test Loss: 0.3481, Test Acc: 89.50%
[FedProx] Round 184/200 - Participants: 10, Avg Local Loss: 0.0940, Test Loss: 0.3496, Test Acc: 89.70%
[FedProx] Round 185/200 - Participants: 10, Avg Local Loss: 0.0799, Test Loss: 0.3490, Test Acc: 89.80%
[FedProx] Round 186/200 - Participants: 10, Avg Local Loss: 0.1272, Test Loss: 0.3485, Test Acc: 89.70%
[FedProx] Round 187/200 - Participants: 10, Avg Local Loss: 0.1008, Test Loss: 0.3488, Test Acc: 89.80%
[FedProx] Round 188/200 - Participants: 10, Avg Local Loss: 0.0648, Test Loss: 0.3496, Test Acc: 89.50%
[FedProx] Round 189/200 - Participants: 10, Avg Local Loss: 0.0909, Test Loss: 0.3478, Test Acc: 89.70%
[FedProx] Round 190/200 - Participants: 10, Avg Local Loss: 0.0777, Test Loss: 0.3466, Test Acc: 89.20%
[FedProx] Round 191/200 - Participants: 10, Avg Local Loss: 0.1474, Test Loss: 0.3447, Test Acc: 89.20%
[FedProx] Round 192/200 - Participants: 10, Avg Local Loss: 0.0640, Test Loss: 0.3446, Test Acc: 89.60%
